data_snapshot,numero_solicitacao,pn,categoria,quantidade,tipo,status,solicitante,data_criacao,ultima_atualizacao
2026-07-14,18119540186U8,DETEC MICRO,C,32,Pedido Normal,Negada,fernandescaf,2026-06-30 19:54:00,NaT
2026-07-14,14708474065U8,2613088-5,C,1,Emergência,Pendente,2S Ramon,2026-05-27 08:47:00,NaT
2026-07-14,13511281194U8,SCAT8-960,C,2,Emergência,Finalizada,2S Ramon,2026-05-15 11:28:00,NaT
2026-07-14,13410542693U8,30994-001,T,1,Emergência,Pendente,2S Godoy Silva,2026-05-14 10:54:00,NaT
2026-07-14,13410363012U8,2601188-9,C,1,Emergência,Pendente,2S Godoy Silva,2026-05-14 10:36:00,NaT
2026-07-14,13409595836U8,SCAT8-960,C,2,Emergência,Finalizada,2S Godoy Silva,2026-05-14 09:59:00,NaT
2026-07-14,13115053387U8,AN929-4W,C,2,Emergência,Finalizada,2S Ramon,2026-05-11 15:05:00,NaT
2026-07-14,12510195447U8,13102-63,C,1,Reposição de Estoque,Pendente,Andrew,2026-05-05 10:19:00,NaT
2026-07-14,12414303473U8,13102-63,C,1,Emergência,Pendente,2S Ramon,2026-05-04 14:30:00,NaT
2026-07-14,11909345398U8,B-5987,C,26,Pedido Normal,Aprovada,2S Ramon,2026-04-29 09:34:00,NaT
2026-07-14,09317522705U8,40SP100,C,20,Pedido Normal,Finalizada,barretoamb,2026-04-03 17:52:00,NaT
2026-07-14,08508503162U8,C592001-0205,C,3,Outros,Negada,barretoamb,2026-03-26 08:50:00,NaT
2026-07-14,08507554496U8,2661615-10,T,1,Pedido Normal,Aprovada,2S Godoy Silva,2026-03-26 07:55:00,NaT
2026-07-14,08412005767U8,E6391,C,5,Outros,Pendente,2S Ramon,2026-03-25 12:00:00,NaT
2026-07-14,08411590283U8,P7036368-01,R,5,Outros,Pendente,2S Ramon,2026-03-25 11:59:00,NaT
2026-07-14,08008373220U8,C145-00-46,C,1,Emergência,Finalizada,cristianoccs,2026-03-21 08:37:00,NaT
2026-07-14,07807213357U8,2115040-8,C,2,Emergência,Finalizada,fernandescaf,2026-03-19 07:21:00,NaT
2026-07-14,07711450337U8,A-1664-17,C,1,Outros,Aprovada,wallacewdl,2026-03-18 11:45:00,NaT
2026-07-14,07711411668U8,A-1638-1,C,30,Outros,Finalizada,wallacewdl,2026-03-18 11:41:00,NaT
2026-07-14,07711292790U8,A1750-6,C,4,Outros,Negada,wallacewdl,2026-03-18 11:29:00,NaT
2026-07-14,07711254590U8,C-40323-83,C,6,Outros,Aprovada,wallacewdl,2026-03-18 11:25:00,NaT
2026-07-14,07711224272U8,C-8317,C,18,Outros,Aprovada,wallacewdl,2026-03-18 11:22:00,NaT
2026-07-14,07209310510U8,CORDA ELASTICA 5MM,C,1,Emergência,Pendente,fernandescaf,2026-03-13 09:31:00,NaT
2026-07-14,06613234635U8,2698010-7,T,2,Emergência,Pendente,fernandescaf,2026-03-07 13:23:00,NaT
2026-07-14,05713242220U8,2614021-42,C,4,Emergência,Pendente,2S Godoy Silva,2026-02-26 13:24:00,NaT
2026-07-14,05710520625U8,1214134-1,C,4,Emergência,Pendente,2S Godoy Silva,2026-02-26 10:52:00,NaT
2026-07-14,04305585811U8,2601266-3,C,1,Outros,Negada,Enio,2026-02-12 05:58:00,NaT
2026-07-14,04305432157U8,AN525-10-14,C,320,Outros,Aprovada,Manegati,2026-02-12 05:43:00,NaT
2026-07-14,04022081996U8,S2837-1,C,4,Emergência,Pendente,cristianoccs,2026-02-09 22:08:00,NaT
2026-07-14,04022035764U8,5950017-11,C,2,Emergência,Finalizada,cristianoccs,2026-02-09 22:03:00,NaT
2026-07-14,04022012422U8,2115040-8,C,4,Emergência,Finalizada,cristianoccs,2026-02-09 22:01:00,NaT
