matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2733,396250014964,011-00877-00,"GSA-80 SERVO ROL,YAW",AIFP,2025-07-23,2025-11-13,2025-11-01,2025-11-12
2728,685250010033,069-01034-0102,"NAVIGATION SET,SATEL",IPLR,2025-10-13,2026-01-28,2025-11-01,2025-11-30
2704,304250074547,154-03000,SEAL MOLDED,IPLR,2025-10-14,2025-11-11,2025-11-01,2025-11-10
2704,304250074552,154-03000,SEAL MOLDED,IPLR,2025-10-14,2025-11-11,2025-11-01,2025-11-10
2704,304250074559,214-01400,"CONE AND ROLLERS,TAP",IPLR,2025-10-14,2025-11-28,2025-11-01,2025-11-27
2704,304250074562,2606015-2,IND OIL TEMP/P,IPLR,2025-10-15,2025-11-21,2025-11-01,2025-11-20
2733,396250015540,OD1232-24MB,DC FAN,AIFP,2025-10-17,2025-11-11,2025-11-01,2025-11-10
2704,304250074637,P/S 870 B-2,SEALING COMPOUND,IPLR,2025-10-28,2025-11-11,2025-11-01,2025-11-10
2739,396250015724,2682001-1,BRAKE CYL MAST,AIFP,2025-10-31,2025-11-04,2025-11-01,2025-11-03
2720,329250018769,066-01141-0101,"RECEIVER,RADIO",IPLR,2025-11-03,2025-11-07,2025-11-03,2025-11-06
2709,329250018770,066-01141-0101,"RECEIVER,RADIO",IPLR,2025-11-03,2025-11-07,2025-11-03,2025-11-06
2728,685250010171,MS17825-3,"NUT,SELF-LOCKING,SLO",IPLR,2025-11-05,2025-11-19,2025-11-05,2025-11-18
2719,685250010201,3122678-04,FUEL CONTROL UNIT,IPLR,2025-11-11,2025-11-25,2025-11-11,2025-11-24
2719,685250010202,702801-5,FUEL PUMP,IPLR,2025-11-11,2025-12-04,2025-11-11,2025-11-30
2729,685250010204,3122678-04,FUEL CONTROL UNIT,AIFP,2025-11-11,2025-11-14,2025-11-11,2025-11-13
2708,685250010205,2621009-1,FITTING - WING LWR,IPLR,2025-11-11,2025-11-19,2025-11-11,2025-11-18
2719,685250010206,S2614-3-24,BUSHING,IPLR,2025-11-11,2025-12-18,2025-11-11,2025-11-30
2708,685250010207,2621009-1,FITTING - WING LWR,IPLR,2025-11-11,2025-11-19,2025-11-11,2025-11-18
2704,304250074908,C414007-0102,BLOWER ASSY,IPLR,2025-11-14,2025-11-28,2025-11-14,2025-11-27
2743,386250012918,1J18-10,FUEL FILTER ASSY,IPLR,2025-11-17,2025-11-25,2025-11-17,2025-11-24
2743,386250012925,030-18200,MAIN WHEEL BRAKE,IPLR,2025-11-18,2025-11-24,2025-11-18,2025-11-23
2719,685250010245,S1450-6B12-032,WASHER,IPLR,2025-11-19,2025-12-15,2025-11-19,2025-11-30
2733,396250015798,76-207-12,"SENSOR, FUEL LEVEL S",AIFP,2025-11-20,2025-11-24,2025-11-20,2025-11-23
